Rainfall - (MM), Year, Statistics, Country, ISO3
43.3, 1991, Jan Average, Greenland, GRL
46.7, 1991, Feb Average, Greenland, GRL
42.8, 1991, Mar Average, Greenland, GRL
26.7, 1991, Apr Average, Greenland, GRL
31.0, 1991, May Average, Greenland, GRL
42.6, 1991, Jun Average, Greenland, GRL
39.5, 1991, Jul Average, Greenland, GRL
53.1, 1991, Aug Average, Greenland, GRL
48.7, 1991, Sep Average, Greenland, GRL
44.8, 1991, Oct Average, Greenland, GRL
46.5, 1991, Nov Average, Greenland, GRL
48.1, 1991, Dec Average, Greenland, GRL
48.5, 1992, Jan Average, Greenland, GRL
45.3, 1992, Feb Average, Greenland, GRL
45.3, 1992, Mar Average, Greenland, GRL
36.0, 1992, Apr Average, Greenland, GRL
26.6, 1992, May Average, Greenland, GRL
52.8, 1992, Jun Average, Greenland, GRL
39.8, 1992, Jul Average, Greenland, GRL
39.3, 1992, Aug Average, Greenland, GRL
46.1, 1992, Sep Average, Greenland, GRL
41.4, 1992, Oct Average, Greenland, GRL
50.2, 1992, Nov Average, Greenland, GRL
38.9, 1992, Dec Average, Greenland, GRL
38.7, 1993, Jan Average, Greenland, GRL
48.1, 1993, Feb Average, Greenland, GRL
46.3, 1993, Mar Average, Greenland, GRL
34.5, 1993, Apr Average, Greenland, GRL
24.1, 1993, May Average, Greenland, GRL
37.7, 1993, Jun Average, Greenland, GRL
39.6, 1993, Jul Average, Greenland, GRL
61.0, 1993, Aug Average, Greenland, GRL
48.1, 1993, Sep Average, Greenland, GRL
37.3, 1993, Oct Average, Greenland, GRL
54.0, 1993, Nov Average, Greenland, GRL
40.5, 1993, Dec Average, Greenland, GRL
39.3, 1994, Jan Average, Greenland, GRL
40.9, 1994, Feb Average, Greenland, GRL
42.7, 1994, Mar Average, Greenland, GRL
30.1, 1994, Apr Average, Greenland, GRL
27.7, 1994, May Average, Greenland, GRL
46.2, 1994, Jun Average, Greenland, GRL
45.5, 1994, Jul Average, Greenland, GRL
54.1, 1994, Aug Average, Greenland, GRL
44.6, 1994, Sep Average, Greenland, GRL
31.4, 1994, Oct Average, Greenland, GRL
48.8, 1994, Nov Average, Greenland, GRL
43.0, 1994, Dec Average, Greenland, GRL
34.0, 1995, Jan Average, Greenland, GRL
35.9, 1995, Feb Average, Greenland, GRL
44.2, 1995, Mar Average, Greenland, GRL
28.6, 1995, Apr Average, Greenland, GRL
20.1, 1995, May Average, Greenland, GRL
47.9, 1995, Jun Average, Greenland, GRL
39.9, 1995, Jul Average, Greenland, GRL
48.2, 1995, Aug Average, Greenland, GRL
53.6, 1995, Sep Average, Greenland, GRL
36.1, 1995, Oct Average, Greenland, GRL
52.9, 1995, Nov Average, Greenland, GRL
45.5, 1995, Dec Average, Greenland, GRL
56.4, 1996, Jan Average, Greenland, GRL
57.7, 1996, Feb Average, Greenland, GRL
51.2, 1996, Mar Average, Greenland, GRL
32.7, 1996, Apr Average, Greenland, GRL
26.1, 1996, May Average, Greenland, GRL
43.0, 1996, Jun Average, Greenland, GRL
45.8, 1996, Jul Average, Greenland, GRL
51.1, 1996, Aug Average, Greenland, GRL
62.8, 1996, Sep Average, Greenland, GRL
34.9, 1996, Oct Average, Greenland, GRL
52.5, 1996, Nov Average, Greenland, GRL
44.4, 1996, Dec Average, Greenland, GRL
45.0, 1997, Jan Average, Greenland, GRL
45.5, 1997, Feb Average, Greenland, GRL
38.4, 1997, Mar Average, Greenland, GRL
42.1, 1997, Apr Average, Greenland, GRL
24.9, 1997, May Average, Greenland, GRL
41.3, 1997, Jun Average, Greenland, GRL
48.6, 1997, Jul Average, Greenland, GRL
57.3, 1997, Aug Average, Greenland, GRL
60.9, 1997, Sep Average, Greenland, GRL
42.9, 1997, Oct Average, Greenland, GRL
52.1, 1997, Nov Average, Greenland, GRL
45.4, 1997, Dec Average, Greenland, GRL
41.3, 1998, Jan Average, Greenland, GRL
48.8, 1998, Feb Average, Greenland, GRL
55.3, 1998, Mar Average, Greenland, GRL
32.1, 1998, Apr Average, Greenland, GRL
27.4, 1998, May Average, Greenland, GRL
36.9, 1998, Jun Average, Greenland, GRL
48.4, 1998, Jul Average, Greenland, GRL
59.4, 1998, Aug Average, Greenland, GRL
35.6, 1998, Sep Average, Greenland, GRL
39.1, 1998, Oct Average, Greenland, GRL
52.0, 1998, Nov Average, Greenland, GRL
37.4, 1998, Dec Average, Greenland, GRL
42.1, 1999, Jan Average, Greenland, GRL
52.2, 1999, Feb Average, Greenland, GRL
43.1, 1999, Mar Average, Greenland, GRL
30.4, 1999, Apr Average, Greenland, GRL
26.8, 1999, May Average, Greenland, GRL
56.1, 1999, Jun Average, Greenland, GRL
44.7, 1999, Jul Average, Greenland, GRL
57.0, 1999, Aug Average, Greenland, GRL
46.0, 1999, Sep Average, Greenland, GRL
37.5, 1999, Oct Average, Greenland, GRL
60.5, 1999, Nov Average, Greenland, GRL
40.6, 1999, Dec Average, Greenland, GRL
42.9, 2000, Jan Average, Greenland, GRL
48.2, 2000, Feb Average, Greenland, GRL
49.9, 2000, Mar Average, Greenland, GRL
34.7, 2000, Apr Average, Greenland, GRL
25.2, 2000, May Average, Greenland, GRL
34.0, 2000, Jun Average, Greenland, GRL
46.0, 2000, Jul Average, Greenland, GRL
51.0, 2000, Aug Average, Greenland, GRL
55.9, 2000, Sep Average, Greenland, GRL
38.2, 2000, Oct Average, Greenland, GRL
51.9, 2000, Nov Average, Greenland, GRL
32.3, 2000, Dec Average, Greenland, GRL
39.5, 2001, Jan Average, Greenland, GRL
46.7, 2001, Feb Average, Greenland, GRL
38.8, 2001, Mar Average, Greenland, GRL
27.9, 2001, Apr Average, Greenland, GRL
25.5, 2001, May Average, Greenland, GRL
48.2, 2001, Jun Average, Greenland, GRL
39.2, 2001, Jul Average, Greenland, GRL
46.1, 2001, Aug Average, Greenland, GRL
53.8, 2001, Sep Average, Greenland, GRL
33.9, 2001, Oct Average, Greenland, GRL
62.5, 2001, Nov Average, Greenland, GRL
46.0, 2001, Dec Average, Greenland, GRL
40.0, 2002, Jan Average, Greenland, GRL
42.7, 2002, Feb Average, Greenland, GRL
47.3, 2002, Mar Average, Greenland, GRL
35.1, 2002, Apr Average, Greenland, GRL
23.3, 2002, May Average, Greenland, GRL
44.3, 2002, Jun Average, Greenland, GRL
50.5, 2002, Jul Average, Greenland, GRL
48.4, 2002, Aug Average, Greenland, GRL
48.4, 2002, Sep Average, Greenland, GRL
34.8, 2002, Oct Average, Greenland, GRL
45.0, 2002, Nov Average, Greenland, GRL
46.9, 2002, Dec Average, Greenland, GRL
39.2, 2003, Jan Average, Greenland, GRL
47.8, 2003, Feb Average, Greenland, GRL
47.6, 2003, Mar Average, Greenland, GRL
34.3, 2003, Apr Average, Greenland, GRL
25.3, 2003, May Average, Greenland, GRL
39.0, 2003, Jun Average, Greenland, GRL
40.2, 2003, Jul Average, Greenland, GRL
51.6, 2003, Aug Average, Greenland, GRL
52.3, 2003, Sep Average, Greenland, GRL
45.3, 2003, Oct Average, Greenland, GRL
49.0, 2003, Nov Average, Greenland, GRL
43.1, 2003, Dec Average, Greenland, GRL
34.1, 2004, Jan Average, Greenland, GRL
51.4, 2004, Feb Average, Greenland, GRL
52.4, 2004, Mar Average, Greenland, GRL
37.6, 2004, Apr Average, Greenland, GRL
20.8, 2004, May Average, Greenland, GRL
41.6, 2004, Jun Average, Greenland, GRL
58.0, 2004, Jul Average, Greenland, GRL
46.7, 2004, Aug Average, Greenland, GRL
52.0, 2004, Sep Average, Greenland, GRL
33.0, 2004, Oct Average, Greenland, GRL
50.6, 2004, Nov Average, Greenland, GRL
42.4, 2004, Dec Average, Greenland, GRL
46.3, 2005, Jan Average, Greenland, GRL
55.2, 2005, Feb Average, Greenland, GRL
49.6, 2005, Mar Average, Greenland, GRL
33.0, 2005, Apr Average, Greenland, GRL
29.2, 2005, May Average, Greenland, GRL
47.4, 2005, Jun Average, Greenland, GRL
51.8, 2005, Jul Average, Greenland, GRL
45.6, 2005, Aug Average, Greenland, GRL
42.3, 2005, Sep Average, Greenland, GRL
35.0, 2005, Oct Average, Greenland, GRL
52.4, 2005, Nov Average, Greenland, GRL
54.3, 2005, Dec Average, Greenland, GRL
42.1, 2006, Jan Average, Greenland, GRL
40.6, 2006, Feb Average, Greenland, GRL
41.7, 2006, Mar Average, Greenland, GRL
38.6, 2006, Apr Average, Greenland, GRL
23.1, 2006, May Average, Greenland, GRL
46.2, 2006, Jun Average, Greenland, GRL
44.8, 2006, Jul Average, Greenland, GRL
52.0, 2006, Aug Average, Greenland, GRL
41.8, 2006, Sep Average, Greenland, GRL
31.9, 2006, Oct Average, Greenland, GRL
42.0, 2006, Nov Average, Greenland, GRL
43.8, 2006, Dec Average, Greenland, GRL
41.1, 2007, Jan Average, Greenland, GRL
39.6, 2007, Feb Average, Greenland, GRL
51.1, 2007, Mar Average, Greenland, GRL
34.4, 2007, Apr Average, Greenland, GRL
21.2, 2007, May Average, Greenland, GRL
42.0, 2007, Jun Average, Greenland, GRL
46.4, 2007, Jul Average, Greenland, GRL
51.2, 2007, Aug Average, Greenland, GRL
48.1, 2007, Sep Average, Greenland, GRL
34.3, 2007, Oct Average, Greenland, GRL
60.0, 2007, Nov Average, Greenland, GRL
40.9, 2007, Dec Average, Greenland, GRL
38.9, 2008, Jan Average, Greenland, GRL
51.7, 2008, Feb Average, Greenland, GRL
47.4, 2008, Mar Average, Greenland, GRL
27.5, 2008, Apr Average, Greenland, GRL
26.8, 2008, May Average, Greenland, GRL
37.9, 2008, Jun Average, Greenland, GRL
47.2, 2008, Jul Average, Greenland, GRL
47.8, 2008, Aug Average, Greenland, GRL
59.0, 2008, Sep Average, Greenland, GRL
40.1, 2008, Oct Average, Greenland, GRL
54.7, 2008, Nov Average, Greenland, GRL
47.6, 2008, Dec Average, Greenland, GRL
38.9, 2009, Jan Average, Greenland, GRL
40.1, 2009, Feb Average, Greenland, GRL
43.7, 2009, Mar Average, Greenland, GRL
35.5, 2009, Apr Average, Greenland, GRL
28.2, 2009, May Average, Greenland, GRL
46.5, 2009, Jun Average, Greenland, GRL
46.9, 2009, Jul Average, Greenland, GRL
41.7, 2009, Aug Average, Greenland, GRL
47.4, 2009, Sep Average, Greenland, GRL
35.5, 2009, Oct Average, Greenland, GRL
43.9, 2009, Nov Average, Greenland, GRL
38.4, 2009, Dec Average, Greenland, GRL
36.9, 2010, Jan Average, Greenland, GRL
33.5, 2010, Feb Average, Greenland, GRL
47.2, 2010, Mar Average, Greenland, GRL
30.4, 2010, Apr Average, Greenland, GRL
27.0, 2010, May Average, Greenland, GRL
38.2, 2010, Jun Average, Greenland, GRL
38.4, 2010, Jul Average, Greenland, GRL
48.9, 2010, Aug Average, Greenland, GRL
49.5, 2010, Sep Average, Greenland, GRL
35.1, 2010, Oct Average, Greenland, GRL
41.8, 2010, Nov Average, Greenland, GRL
40.0, 2010, Dec Average, Greenland, GRL
38.2, 2011, Jan Average, Greenland, GRL
48.0, 2011, Feb Average, Greenland, GRL
47.6, 2011, Mar Average, Greenland, GRL
37.3, 2011, Apr Average, Greenland, GRL
26.2, 2011, May Average, Greenland, GRL
41.5, 2011, Jun Average, Greenland, GRL
43.7, 2011, Jul Average, Greenland, GRL
49.8, 2011, Aug Average, Greenland, GRL
44.3, 2011, Sep Average, Greenland, GRL
37.3, 2011, Oct Average, Greenland, GRL
54.0, 2011, Nov Average, Greenland, GRL
40.4, 2011, Dec Average, Greenland, GRL
38.5, 2012, Jan Average, Greenland, GRL
43.8, 2012, Feb Average, Greenland, GRL
52.1, 2012, Mar Average, Greenland, GRL
32.3, 2012, Apr Average, Greenland, GRL
32.3, 2012, May Average, Greenland, GRL
45.4, 2012, Jun Average, Greenland, GRL
44.7, 2012, Jul Average, Greenland, GRL
49.0, 2012, Aug Average, Greenland, GRL
54.9, 2012, Sep Average, Greenland, GRL
41.7, 2012, Oct Average, Greenland, GRL
53.4, 2012, Nov Average, Greenland, GRL
44.0, 2012, Dec Average, Greenland, GRL
44.1, 2013, Jan Average, Greenland, GRL
51.9, 2013, Feb Average, Greenland, GRL
48.2, 2013, Mar Average, Greenland, GRL
33.1, 2013, Apr Average, Greenland, GRL
27.7, 2013, May Average, Greenland, GRL
44.8, 2013, Jun Average, Greenland, GRL
46.5, 2013, Jul Average, Greenland, GRL
54.8, 2013, Aug Average, Greenland, GRL
54.0, 2013, Sep Average, Greenland, GRL
44.5, 2013, Oct Average, Greenland, GRL
50.1, 2013, Nov Average, Greenland, GRL
44.1, 2013, Dec Average, Greenland, GRL
46.5, 2014, Jan Average, Greenland, GRL
40.8, 2014, Feb Average, Greenland, GRL
44.8, 2014, Mar Average, Greenland, GRL
35.4, 2014, Apr Average, Greenland, GRL
27.1, 2014, May Average, Greenland, GRL
48.3, 2014, Jun Average, Greenland, GRL
44.0, 2014, Jul Average, Greenland, GRL
60.6, 2014, Aug Average, Greenland, GRL
52.0, 2014, Sep Average, Greenland, GRL
40.1, 2014, Oct Average, Greenland, GRL
56.6, 2014, Nov Average, Greenland, GRL
49.0, 2014, Dec Average, Greenland, GRL
49.6, 2015, Jan Average, Greenland, GRL
51.5, 2015, Feb Average, Greenland, GRL
57.9, 2015, Mar Average, Greenland, GRL
43.5, 2015, Apr Average, Greenland, GRL
28.5, 2015, May Average, Greenland, GRL
38.3, 2015, Jun Average, Greenland, GRL
39.8, 2015, Jul Average, Greenland, GRL
58.9, 2015, Aug Average, Greenland, GRL
55.8, 2015, Sep Average, Greenland, GRL
44.0, 2015, Oct Average, Greenland, GRL
58.4, 2015, Nov Average, Greenland, GRL
47.7, 2015, Dec Average, Greenland, GRL
44.2, 2016, Jan Average, Greenland, GRL
40.7, 2016, Feb Average, Greenland, GRL
44.9, 2016, Mar Average, Greenland, GRL
36.4, 2016, Apr Average, Greenland, GRL
31.1, 2016, May Average, Greenland, GRL
43.2, 2016, Jun Average, Greenland, GRL
38.1, 2016, Jul Average, Greenland, GRL
42.1, 2016, Aug Average, Greenland, GRL
52.0, 2016, Sep Average, Greenland, GRL
48.4, 2016, Oct Average, Greenland, GRL
61.3, 2016, Nov Average, Greenland, GRL
50.3, 2016, Dec Average, Greenland, GRL
43.3, 2017, Jan Average, Greenland, GRL
56.1, 2017, Feb Average, Greenland, GRL
39.6, 2017, Mar Average, Greenland, GRL
38.9, 2017, Apr Average, Greenland, GRL
26.2, 2017, May Average, Greenland, GRL
41.0, 2017, Jun Average, Greenland, GRL
46.8, 2017, Jul Average, Greenland, GRL
51.1, 2017, Aug Average, Greenland, GRL
48.3, 2017, Sep Average, Greenland, GRL
43.6, 2017, Oct Average, Greenland, GRL
52.1, 2017, Nov Average, Greenland, GRL
41.7, 2017, Dec Average, Greenland, GRL
40.4, 2018, Jan Average, Greenland, GRL
49.9, 2018, Feb Average, Greenland, GRL
42.6, 2018, Mar Average, Greenland, GRL
35.5, 2018, Apr Average, Greenland, GRL
29.7, 2018, May Average, Greenland, GRL
43.2, 2018, Jun Average, Greenland, GRL
53.2, 2018, Jul Average, Greenland, GRL
53.4, 2018, Aug Average, Greenland, GRL
50.6, 2018, Sep Average, Greenland, GRL
39.3, 2018, Oct Average, Greenland, GRL
56.6, 2018, Nov Average, Greenland, GRL
42.1, 2018, Dec Average, Greenland, GRL
47.5, 2019, Jan Average, Greenland, GRL
42.4, 2019, Feb Average, Greenland, GRL
46.6, 2019, Mar Average, Greenland, GRL
36.5, 2019, Apr Average, Greenland, GRL
23.4, 2019, May Average, Greenland, GRL
41.8, 2019, Jun Average, Greenland, GRL
45.4, 2019, Jul Average, Greenland, GRL
49.9, 2019, Aug Average, Greenland, GRL
48.3, 2019, Sep Average, Greenland, GRL
32.1, 2019, Oct Average, Greenland, GRL
49.8, 2019, Nov Average, Greenland, GRL
45.3, 2019, Dec Average, Greenland, GRL
51.1, 2020, Jan Average, Greenland, GRL
43.5, 2020, Feb Average, Greenland, GRL
44.6, 2020, Mar Average, Greenland, GRL
39.6, 2020, Apr Average, Greenland, GRL
25.6, 2020, May Average, Greenland, GRL
50.1, 2020, Jun Average, Greenland, GRL
52.3, 2020, Jul Average, Greenland, GRL
59.0, 2020, Aug Average, Greenland, GRL
48.3, 2020, Sep Average, Greenland, GRL
43.1, 2020, Oct Average, Greenland, GRL
63.9, 2020, Nov Average, Greenland, GRL
39.8, 2020, Dec Average, Greenland, GRL
